date,startup,vertical,city,investors,round,amount_crore_rs,month,day,year
2020-01-09,BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,1650.0,1,9,2020
2020-01-13,Shuttl,Transport,Gurugram,Susquehanna Growth Equity,Series C,66.3992505,1,13,2020
2020-01-09,Mamaearth,E-commerce,Bengaluru,Sequoia Capital India,Series B,151.460595,1,9,2020
2020-01-02,WealthBucket,FinTech,New Delhi,Vinod Khatumal,Pre-series A,24.75,1,2,2020
2020-01-02,Fashor,Fashion & Apparel,Mumbai,Sprout Venture Partners,Seed Round,14.85,1,2,2020
2020-01-13,Pando,Logistics,Chennai,Chiratae Ventures,Series A,74.25,1,13,2020
2020-01-10,Zomato,Hospitality,Gurugram,Ant Financial,Private Equity Round,1237.5,1,10,2020
2019-12-12,Ecozen,Tech,Pune,Sathguru Catalyzer Advisors,Series A,49.5,12,12,2019
2019-12-06,CarDekho,E-Commerce,Gurugram,Ping An Global Voyager Fund,Series D,577.5,12,6,2019
2019-12-03,Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,412.5,12,3,2019
2019-12-13,Rivigo,Tech,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,165.0,12,13,2019
2019-12-17,Healthians,B2B-Focused Foodtech Startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.0,12,17,2019
2019-12-16,Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,247.5,12,16,2019
2019-12-14,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,16.5,12,14,2019
2019-12-11,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,412.5,12,11,2019
2019-12-20,Lenskart,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,1905.75,12,20,2019
2019-11-13,Freshworks,Software,San Francisco,"Sequoia, CapitalG, Accel",Series H,1237.5,11,13,2019
2019-11-14,Misters,Health & wellness,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,4.0095,11,14,2019
2019-11-13,Sunstone Eduversity,Education,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.375,11,13,2019
2019-11-17,Burger Singh,Food & Beverage,Gurugram,RB Investments,Venture,0.0,11,17,2019
2019-11-18,Healthians,Health & Wellness,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,99.0,11,18,2019
2019-11-15,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,214.5,11,15,2019
2019-11-20,Aye Finance,FinTech,Gurugram,FinTech,Debt Funding,143.64293625,11,20,2019
2019-11-12,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,10.725,11,12,2019
2019-11-20,Clumio,SaaS,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1113.75,11,20,2019
2019-11-11,eBikeGo,Last-Mile Transportation,Amritsar,Startup Buddy,Seed,2.475,11,11,2019
2019-11-19,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,1815.0,11,19,2019
2019-11-18,Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,130.35,11,18,2019
2019-11-15,Vogo,Last-Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2334.75,11,15,2019
2019-11-25,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,8250.0,11,25,2019
2019-10-04,Dunzo,Customer Service,Bengaluru,Lightbox,Series D,371.25,10,4,2019
2019-10-02,Udaan,B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,4826.25,10,2,2019
2019-10-21,The Man Company,Consumer Goods,Gurugram,Ayushmann Khurana,Corporate Round,0.0,10,21,2019
2019-09-05,FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.125,9,5,2019
2019-09-04,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,27.225,9,4,2019
2019-09-04,Digital F5,Advertising & Marketing,Mumbai,TIW Private Equity,Private Equity Round,49.5,9,4,2019
2019-09-04,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,41.25,9,4,2019
2019-09-04,75F,IoT,Burnsville,Breakthrough Energy Ventures,Series A,148.5,9,4,2019
2019-09-04,Myelin Foundry,IT,Bengaluru,Endiya Partners,Seed,8.25,9,4,2019
2019-09-04,Atomberg,Consumer Technology,Mumbai,A91 Partners,Series A,82.5,9,4,2019
2019-09-04,GOQii,Health & Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3712.5,9,4,2019
2019-09-03,Vyapar App,Accounting,Bengaluru,"India Quotient, Axilor Ventures",Series A,41.25,9,3,2019
2019-08-01,CarDekho,E-Commerce,Gurugram,SC GG India Mobility Holdings LLC,Series C,165.0,8,1,2019
2019-08-01,Progcap,Finance,New Delhi,Sequoia India,Series A,41.25,8,1,2019
2019-08-01,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1155.0,8,1,2019
2019-08-01,Pine Labs,IT,Noida,Pine Labs Pte Ltd,Corporate Round,314.16,8,1,2019
2019-08-12,Meesho,E-Commerce,Bengaluru,Naspers,Series D,1031.25,8,12,2019
2019-08-13,Cars24,E-Commerce,Gurugram,MS Dhoni,Series D,90.75,8,13,2019
2019-08-13,Uniphore,Customer Service Platform,Palo Alto,March Capital Partners,Series C,420.75,8,13,2019
2019-08-23,ZenDrive,Automotive,San Francisco,XL Innovate,Series B,305.25,8,23,2019
2019-08-23,Lo! Foods,Consumer Goods,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4.125,8,23,2019
2019-08-23,Tala,FinTech,Santa Monica,RPS Ventures,Series D,907.5,8,23,2019
2019-08-22,INDwealth,FinTech,Gurugram,Tiger Global Management,Venture Round,123.75,8,22,2019
2019-08-21,HungerBox,Food & Beverage,Bengaluru,One97 Communications Ltd.,Series C,54.3675,8,21,2019
2019-08-23,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,8.25,8,23,2019
2019-08-19,Mishry Reviews,Services,Gurugram,Vir Sanghvi,Series A,0.0,8,19,2019
2019-08-19,Grofers,E-Commerce,Gurugram,Softbank Vision Fund,Series F,577.5,8,19,2019
2019-08-27,Rapido,Transport,Bengaluru,Westbridge Capital,Series B,32175.0,8,27,2019
2019-07-02,RenewBuy,Finance,Gurugram,"Lok Capital, IIFL Wealth",Series B,156.75,7,2,2019
2019-07-02,Atlan,IT,Singapore,WaterBridge Ventures,Pre-Series A,20.625,7,2,2019
2019-07-01,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,1.19625,7,1,2019
2019-07-03,Ola,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.25,7,3,2019
2019-07-01,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,314.16,7,1,2019
2019-07-04,Daalchini Technologies,Food & Beverage,New Delhi,Artha Venture,Seed Round,4.125,7,4,2019
2019-07-10,BYJU’S,EdTech,Bengaluru,Qatar Investment Authority,Private Equity Round,1237.5,7,10,2019
2019-07-11,Moglix,E-Commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,495.0,7,11,2019
2019-07-10,Ezyhaul,Tech,Singapore,Undisclosed,Series B,132.0,7,10,2019
2019-07-10,Indus OS,Tech,Andheri,Ventureast,Series B,47.4375,7,10,2019
2019-07-10,HealthAssure,Healthcare,Mumbai,Blume Ventures,Series A,20.625,7,10,2019
2019-07-09,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,8.25,7,9,2019
2019-07-08,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,2.63674125,7,8,2019
2019-06-05,NoBroker,E-Commerce,Bengaluru,General Atlantic,Series C,420.75,6,5,2019
2019-06-04,Bira91,Food & Beverage,New Delhi,Anicut Capital,Debt Funding,82.5,6,4,2019
2019-06-03,Avail Finance,Finance,Bengaluru,Matrix Partners,Series A,74.25,6,3,2019
2019-06-04,BharatPe,Finance,New Delhi,Insight Partners,Series B,618.75,6,4,2019
2019-06-04,Recykal,Waste Management Service,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,214.5,6,4,2019
2019-06-03,Agara Labs,Deep-Tech,Bengaluru,Blume Ventures and RTP Global,pre-Series A,20.625,6,3,2019
2019-06-06,Chakr Innovation,Energy,New Delhi,IAN Fund,Series A,214.5,6,6,2019
2019-06-10,Bolo App,Digital Media,Bengaluru,Nexus Venture Partners,Seed Funding,3.54915,6,10,2019
2019-06-10,OkCredit,FinTech,Haryana,Tiger Global Management,Series A,127.875,6,10,2019
2019-06-06,Biz2Credit,FinTech,New York,WestBridge Capital,Series B,429.0,6,6,2019
2019-06-08,Vogo,Transport,Karnataka,Alteria Capital,Debt Funding,29.568,6,8,2019
2019-06-04,Leegality,Services,Mumbai/Bengaluru,Mumbai Angels,Series A,28.05,6,4,2019
2019-05-06,Ola Electric,Transport,Bengaluru,Tata Sons,Series A,0.0,5,6,2019
2019-05-06,Saahas Zero Waste,Waste Management Service,Bengaluru,C4D Partners,Venture - Series Unknown,7.16595,5,6,2019
2019-05-05,StyleDotMe,E-commerce,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0.0,5,5,2019
2019-05-01,BlackBuck,Transport,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1237.5,5,1,2019
2019-05-02,Zenoti,SaaS,Hyderabad,Tiger Global Management,Series C,412.5,5,2,2019
2019-05-28,Ather Energy,Automotive,Bengaluru,Sachin Bansal,Series C,420.75,5,28,2019
2019-05-28,FreshVnF,AgriTech,Mumbai,Equanimity Ventures,Seed Round,1155.0,5,28,2019
2019-05-30,GlowRoad,E-commerce,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,94.875,5,30,2019
2019-05-31,Bira91,Food & Beverage,New Delhi,Sixth Sense Ventures,Series B,46.2,5,31,2019
2019-04-16,Kuvera,Finance,Bengaluru,Eight Roads,Series A,371.25,4,16,2019
2019-04-12,Medlife,E-commerce,Bengaluru,Prasid Uno Family Trust,Private Equity,140.25,4,12,2019
2019-04-10,Kabadiwala,E-commerce,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.55298625,4,10,2019
2019-04-13,Tripoto,Social Media,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,29.62884375,4,13,2019
2019-04-12,Azah,Health & Wellness,Gurugram,Unnamed angel investors,Seed Funding,1.65,4,12,2019
2019-04-11,Setu,FinTech,Bengaluru,Lightspeed India Partners,Seed Funding,28.875,4,11,2019
2019-04-10,Toppr,Ed-Tech,Mumbai,Milestone,Debt and Preference capital,52.146765,4,10,2019
2019-04-10,Craftsvilla,E-commerce,Mumbai,Supera Pte Ltd,Inhouse Funding,20.15883375,4,10,2019
2019-04-10,Unacademy,Ed-Tech,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,2.53275,4,10,2019
2019-04-11,CleverTap,SaaS,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,214.5,4,11,2019
2019-04-19,My Healthcare,E-commerce,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,24.75,4,19,2019
2019-04-19,KrazyBee,E-commerce,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,118.3215,4,19,2019
2019-04-17,Shuttl,Transport,Gurugram,New Atlantic Ventures,Venture Round,41.25,4,17,2019
2019-04-17,Increff,Tech,Bengaluru,"021 Capita, Binny Bansal",Series A,24.75,4,17,2019
2019-02-01,FleetX,Artificial Intelligence,Gurugram,India Quotient and LetsVenture's Angel Fund,Pre Series A,0.0,2,1,2019
2019-02-08,Zilingo,E-commerce,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1864.5,2,8,2019
2019-02-13,NanoClean Global,Nanotechnology,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.95,2,13,2019
2018-02-14,Oyo,Hospitality,Gurugram,DiDi Chuxing,Equity,825.0,2,14,2018
2019-01-03,CarDekho,Automotive,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet's growth investment arm Capital G and Axis Bank",Series C,907.5,1,3,2019
2019-01-04,Vyome Biosciences,Health & Wellness,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,181.5,1,4,2019
2019-01-04,Samunnati,Finance,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,41.25,1,4,2019
2018-12-04,Manch,Social Media,Delhi,Stellaris Venture Partners,Seed Funding,5.775,12,4,2018
2018-12-01,UrbanClap,Services Platform,New Delhi,Steadview Capital and Vy Capital.,Series D,412.5,12,1,2018
2018-12-02,Guiddoo,Travel Tech,Mumbai,Individual Investors,Pre-Series A,6.6,12,2,2018
2018-12-02,Career Anna,Online Education,Gurugram,Individual Investors,Pre-Series A,4.719,12,2,2018
2018-12-04,Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India LLP,Seed Funding,1.17975,12,4,2018
2018-12-06,ShopKirana,B2B,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,16.5,12,6,2018
2018-12-06,BuildSupply,SaaS & E-commerce,Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,28.875,12,6,2018
2018-11-01,GoDesi,Food & Beverage,Bengaluru,Lead Angels Network,Seed/ Angel Funding,1.14670875,11,1,2018
2018-11-03,Veritas Finance,NBFC,Chennai,"Norwest Venture Partners, CDC Group, the UK's Development Finance Institution and P Surendra Pai",Series D,229.34175,11,3,2018
2018-11-06,Meesho,E-commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,412.5,11,6,2018
2018-11-08,Mobile Premier League,Gaming,Bengaluru,Undisclosed,Series A,4.125,11,8,2018
2018-11-08,A&R Bon Vivants,Food,Jaipur,"RB Investments, Singapore",Equity,8.25,11,8,2018
2018-11-12,BlackBuck,FoodTech,"New York, Bengaluru",Tiger Global,Series A,8.25,11,12,2018
2018-11-12,MilkBasket,Food,New Delhi,Mayfield Fund,Series B,10.725,11,12,2018
2018-11-13,DriveU,Transport,Bengaluru,Stevens Creek Ventures,Mezzanine,8.25,11,13,2018
2018-11-14,CleanseCar,Services,Bengaluru,Venture Catalysts,Seed/ Angel Funding,4.125,11,14,2018
2018-11-19,Automation Anywhere,Automation,California,SoftBank Vision Fund,Series B,2475.0,11,19,2018
2018-11-20,HealthifyMe,Health & Wellness,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),49.5,11,20,2018
2018-11-21,Genius Corner,Education,Noida,Individual investors,Seed Funding,2.2935,11,21,2018
2018-11-22,Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,255.75,11,22,2018
2018-11-22,Skillbox,Social Network,Gurugram,Individual investors,Seed Funding,0.0,11,22,2018
2018-11-23,Signzy,FinTech,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,28.05,11,23,2018
2018-11-24,Engineer.ai,Software,India/US,"Lakestar and Jungle Ventures, Softbank's DeepCore.",Series A,243.375,11,24,2018
2018-11-25,InCred,Finance,India,"Paragon Partners, Individual Investors",Private Equity,346.5,11,25,2018
2018-11-25,Roposo,Social Media,Delhi,Bertelsmann India Investments,Series B,14.025,11,25,2018
2018-10-01,Northmist,Fashion,Delhi,Prashant Jaiswal,Seed/ Angel Funding,0.0,10,1,2018
2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,90.75,10,2,2018
2018-10-04,Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,67.65,10,4,2018
2018-10-05,Droom,Automotive,Gurugram,ZigExN,Series E,24.75,10,5,2018
2018-10-11,Innov8,Real Estate,New Delhi,Credence Family Office,Pre-Series A,33.0,10,11,2018
2018-10-12,BlackBuck,Logistics Tech,Bengaluru,Sequoia Capital India,Private Funding,121.11,10,12,2018
2018-10-12,Lets Transport,Logistics Tech,Bengaluru,Fosun International,Series C,99.0,10,12,2018
2018-09-01,Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,288.75,9,1,2018
2018-09-03,Udaan,B2B Platform,Bengaluru,DST Global and Lightspeed Venture Partners' global fund.,Private Equity,1856.25,9,3,2018
2018-09-03,DailyHunt,Consumer Internet,Bengaluru,Falcon Edge,Private Equity,52.7175,9,3,2018
2018-09-04,HappyGoEasy,Consumer Internet,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,0.0,9,4,2018
2018-09-05,Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,1296.9,9,5,2018
2018-09-05,Mad Street Den,Tech,Chennai,KDDI\\xc2\\xa0,Private Equity,0.0,9,5,2018
2018-09-06,Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,825.0,9,6,2018
2018-09-10,Mamaearth,Healthcare,Gurugram,Stellaris Ventures & Others,Private Equity,33.0,9,10,2018
2018-09-11,AutoGrid,Tech,Bengaluru,"CLP Holdings Group, Innogy, orstead, and Tenaska",Private Equity,264.0,9,11,2018
2018-09-11,PharmEasy,Consumer Internet,Mumbai,InnoVen Capital,Debt Funding,45.375,9,11,2018
2018-09-11,Upwards,FinTech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,41.25,9,11,2018
2018-09-12,Kissht,FinTech,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,247.5,9,12,2018
2018-08-01,Dishq,FoodTech,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,3.3,8,1,2018
2018-08-01,HealthFin,Finance,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,0.0,8,1,2018
2018-08-02,Samosa Labs,Consumer Internet,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,57.75,8,2,2018
2018-08-03,ZiffyHomes,Consumer Internet,Gurugram,Y Combinator,Private Equity,0.99,8,3,2018
2018-08-07,ShopX,Consumer Internet,Bengaluru,Fung Strategic Holdings,Private Equity,288.75,8,7,2018
2018-08-07,MakeMyTrip,Consumer Internet,Gurugram,MakeMyTrip Limited,Private Equity,82.5,8,7,2018
2018-08-08,Hansel.io,Consumer Internet,Bengaluru,Vertex Ventures,Seed/ Angel Funding,33.0,8,8,2018
2018-08-08,Bounce,Consumer Internet,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,100.65,8,8,2018
2018-08-08,PhonePe,Consumer Internet,Bengaluru,Flipkart,Private Equity,544.5,8,8,2018
2018-08-09,Quizizz,Ed-Tech,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,24.75,8,9,2018
2018-08-09,Happy EMI,FinTech,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,8.25,8,9,2018
2018-08-13,Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,33.0,8,13,2018
2018-08-13,Observe AI,Tech,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,66.0,8,13,2018
2018-08-17,EasyDiner,Consumer Internet,Gurugram,Denlow Investment Trust and Beenext,Private Equity,48.2625,8,17,2018
2018-08-20,Raw Pressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,39.6,8,20,2018
2018-08-22,Pi Ventures,Tech,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,49.5,8,22,2018
2018-08-22,Revv,Consumer Internet,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,117.7275,8,22,2018
2018-08-26,ZestMoney,Consumer Internet,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,110.55,8,26,2018
2018-08-26,Shubh Loans,FinTech,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,34.65,8,26,2018
2018-08-27,MyUpchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,41.25,8,27,2018
2018-08-28,Narvar,IT,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,24.75,8,28,2018
2018-07-01,Leena AI,Tech,Gurugram,Y Combinator,Seed/ Angel Funding,0.0,7,1,2018
2018-07-02,Biryani By Kilo,Consumer Internet,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,8.25,7,2,2018
2018-07-04,Anchanto,IT,Pune,MDI Ventures & Telkom Indonesia,Private Equity,33.0,7,4,2018
2018-07-05,LoanTap,Consumer Internet,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,51.5625,7,5,2018
2018-07-06,PolicyBazaar,Consumer Internet,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,228.525,7,6,2018
2018-07-09,ZippServ,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Seed/ Angel Funding,3.63,7,9,2018
2018-07-09,Groww,Consumer Internet,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,9.075,7,9,2018
2018-07-10,Avenue Growth,Consumer Internet,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,3.60525,7,10,2018
2018-07-10,iNICU,Healthcare,Delhi,Venture Catalysts,Seed/ Angel Funding,0.0,7,10,2018
2018-07-10,Kinara Capital,Finance,Bengaluru,ResponsAbility,Private Equity,41.25,7,10,2018
2018-07-10,Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,41.25,7,10,2018
2018-07-11,Sambandh,Consumer Internet,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,20.625,7,11,2018
2018-07-12,19th mile,IT,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,1.485,7,12,2018
2018-07-12,5th Vital,Healthcare,Bengaluru,Brand Capital and Others,Seed/ Angel Funding,4.125,7,12,2018
2018-07-13,MEngage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,1.44375,7,13,2018
2018-07-17,OfBusiness,Finance,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,239.25,7,17,2018
2018-07-17,Cars24,Consumer Internet,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,410.025,7,17,2018
2018-07-18,The Ken,Consumer Internet,Bengaluru,Omidyar Network & Others,Seed/ Angel Funding,12.375,7,18,2018
2018-07-19,BookMyShow,Consumer Internet,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,825.0,7,19,2018
2018-07-21,PaySense,Consumer Internet,Mumbai,PayU & Others,Private Equity,148.5,7,21,2018
2018-07-23,VTION,Tech,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,2.31,7,23,2018
2018-07-23,Log 9 Materials,Tech,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,3.597,7,23,2018
2018-07-24,Kidovators,Ed-Tech,Bengaluru,Gray Matters,Seed/ Angel Funding,1.485,7,24,2018
2018-07-24,Digit,Consumer Internet,Pune,Fairfax,Private Equity,371.25,7,24,2018
2018-07-25,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,140.25,7,25,2018
2018-07-25,Trell,Consumer Internet,Bengaluru,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,10.3125,7,25,2018
2018-07-25,IQlect,Tech,Bengaluru,Ventureast and Exfinity,Seed/ Angel Funding,20.625,7,25,2018
2018-07-26,Entropik,IT,Bengaluru,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,9.075,7,26,2018
2018-07-26,Bitla Software,Tech,Bengaluru,MakeMyTrip,Private Equity,0.0,7,26,2018
2018-07-26,TheCapitalNet,FinTech,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,4.125,7,26,2018
2018-07-30,Shuttl,Consumer Internet,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,90.75,7,30,2018
2018-07-30,CureFit,Consumer Internet,Bengaluru,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,990.0,7,30,2018
2018-07-31,Five Star Group,FinTech,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,825.0,7,31,2018
2018-07-31,Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed/ Angel Funding,41.25,7,31,2018
2018-06-01,CoinTribe,Finance,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,82.5,6,1,2018
2018-06-04,Digiconectt,Tech,Bengaluru,Aspire Logistics LLC,Seed/ Angel Funding,1.03125,6,4,2018
2018-06-04,Kashmir Box,E-Commerce,Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,0.0,6,4,2018
2018-06-05,Crowdera,Finance,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,0.0,6,5,2018
2018-06-05,Zoctr,Healthcare,Mumbai,NB Ventures and Others,Seed/ Angel Funding,0.0,6,5,2018
2018-06-07,Annapurna Finance,Finance,Bhubaneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,189.75,6,7,2018
2018-06-07,Meesho,Consumer Internet,Bengaluru,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,94.875,6,7,2018
2018-06-10,Aye Finance,Finance,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,177.375,6,10,2018
2018-06-11,Theranosis,Healthcare,Hyderabad,Mumbai Angels Network,Seed/ Angel Funding,0.0,6,11,2018
2018-06-12,Alpha Capital,Finance,Mumbai,Alpha Capital,Private Equity,122.1,6,12,2018
2018-06-12,eShakti,E-Commerce,Chennai,Paragon Partners,Private Equity,83.325,6,12,2018
2018-06-12,Daily Ninja,Consumer Internet,Bengaluru,Saama Capital and Sequoia Capital,Seed/ Angel Funding,24.75,6,12,2018
