date,startup,vertical,city,investors,round,amount_crore_rs,month,day,year
2017-04-03,Eruditus,Education,Mumbai,Bertelsmann India,Private Equity,67.65,4,3,2017
2017-04-03,TestBook,Consumer Internet,Mumbai,Matrix Partners India,Private Equity,0.0,4,3,2017
2017-04-03,HealthCare,Healthcare,Noida,Quadria Capital Advisors,Private Equity,330.0,4,3,2017
2017-04-03,Tyre Express,Tech,Mumbai,Rohitash Gupta,Seed Funding,0.0,4,3,2017
2017-04-03,SmartCoin,Consumer Internet,Bengaluru,Unicorn India Ventures & Others,Private Equity,0.0,4,3,2017
2017-04-04,WayCool,Food & Beverage,Chennai,Aspada Investments,Private Equity,22.275,4,4,2017
2017-04-04,Perfios,Tech,Bengaluru,Bessemer Venture Partners,Private Equity,50.325,4,4,2017
2017-04-04,Whatfix,Tech,Bengaluru,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,30.4425,4,4,2017
2017-04-04,ElasticRun,Tech,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,57.75,4,4,2017
2017-04-04,Trukky,Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,4.125,4,4,2017
2017-04-04,Konsult App,Consumer Internet,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,4.125,4,4,2017
2017-04-05,Credit Sudhaar,Consumer Internet,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0.0,4,5,2017
2017-04-05,Fingerlix,Consumer Internet,Mumbai,Zephyr Peacock India,Private Equity,24.75,4,5,2017
2017-04-05,DataWeave,Tech,Bengaluru,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,0.0,4,5,2017
2017-04-06,Medwell Ventures,Healthcare,Bengaluru,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,173.25,4,6,2017
2017-04-06,Mech Mocha,Consumer Internet,Bengaluru,"Accel Partners, Shunwei Capital",Private Equity,41.25,4,6,2017
2017-04-07,Startup Buddy,Consumer Internet,Gurugram,"YouWeCan Ventures,",Seed Funding,0.0,4,7,2017
2017-04-07,QorQI,Healthcare,Noida,Paytm,Seed Funding,0.0,4,7,2017
2017-04-07,Twenty Two Motors,Tech,Gurugram,"Ishwar Singh,Farhaan Shabbir",Seed Funding,0.0,4,7,2017
2017-04-07,PharmEasy,E-commerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,148.5,4,7,2017
2017-04-08,WonderChef,E-commerce,Mumbai,Labruyere Eberle,Private Equity,0.0,4,8,2017
2017-04-08,FastFox,Consumer Internet,Gurugram,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,37.95,4,8,2017
2017-04-10,Omnify,Tech,Bengaluru,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed Funding,1.2375,4,10,2017
2017-04-10,Capital Float,Consumer Internet,Bengaluru,Mahindra and Mahindra Financial Services,Private Equity,18.975,4,10,2017
2017-04-11,Ninjacart,E-commerce,Bengaluru,"Accel Partners, Nandan Nilekani's NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,45.375,4,11,2017
2017-04-11,MergerWare,Tech,Bengaluru,Philippe Bouchet,Seed Funding,0.825,4,11,2017
2017-04-11,Sport Flashes,Consumer Internet,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0.0,4,11,2017
2017-04-12,Clovia,E-commerce,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,33.0,4,12,2017
2017-04-12,Emiza,Logistics,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,37.125,4,12,2017
2017-04-12,HackerEarth,Consumer Internet,Bengaluru,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,37.125,4,12,2017
2017-04-12,SquadRun,Tech,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,17.325,4,12,2017
2017-04-12,TinMen,Consumer Internet,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.0,4,12,2017
2017-04-12,ScoutMyTrip,Consumer Internet,Mumbai,Z Nation Lab,Seed Funding,0.0,4,12,2017
2017-04-13,SafetyKart,E-commerce,Gurugram,Redcliffe Capital,Private Equity,0.0,4,13,2017
2017-04-13,WeAreHolidays,Consumer Internet,Gurugram,"Urrshila Kerkar,",Private Equity,63.525,4,13,2017
2017-04-14,Ola,Consumer Internet,Bengaluru,SIMI Pacific Pte,Private Equity,2145.0,4,14,2017
2017-04-15,Myly,Consumer Internet,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,2.5575,4,15,2017
2017-04-17,CrediHealth,Consumer Internet,Gurugram,"Tolaram Inc, Mountain Pine Capital",Private Equity,12.375,4,17,2017
2017-04-17,Navia Life Care,Tech,New Delhi,Benori Ventures LLP,Seed Funding,0.0,4,17,2017
2017-04-17,Raw Pressery,Food & Beverage,Mumbai,Jacqueline Fernandez,Seed Funding,0.0,4,17,2017
2017-04-17,Snackible,Food & Beverage,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed Funding,1.44375,4,17,2017
